report_id,operator,engaged,incident_month,municipality,state,metro,version,severity
30270-13547,Waymo LLC,True,2026-01-01,Los Angeles,CA,Los Angeles,"5th Generation ADS, Version 10",Property Damage. No Injured Reported
30270-13550,Waymo LLC,True,2026-01-01,Los Angeles,CA,Los Angeles,"5th Generation ADS, Version 10",Minor W/O Hospitalization
30270-13586,Waymo LLC,True,2026-01-01,San Francisco,CA,San Francisco,"5th Generation ADS, Version 10",Property Damage. No Injured Reported
30270-13585,Waymo LLC,True,2026-01-01,Los Angeles,CA,Los Angeles,"5th Generation ADS, Version 10",Minor W/O Hospitalization
30270-13954,Waymo LLC,True,2026-01-01,Los Angeles,CA,Los Angeles,"5th Generation ADS, Version 10",Property Damage. No Injured Reported
30270-13558,Waymo LLC,True,2026-01-01,San Francisco,CA,San Francisco,"5th Generation ADS, Version 10",Property Damage. No Injured Reported
30270-13581,Waymo LLC,True,2026-01-01,Phoenix,AZ,Phoenix,"5th Generation ADS, Version 10",Property Damage. No Injured Reported
30270-13582,Waymo LLC,True,2026-01-01,Venice,CA,Los Angeles,"5th Generation ADS, Version 10",Property Damage. No Injured Reported
30270-13575,Waymo LLC,True,2026-01-01,Los Angeles,CA,Los Angeles,"5th Generation ADS, Version 10",Property Damage. No Injured Reported
30270-13573,Waymo LLC,True,2026-01-01,Phoenix,AZ,Phoenix,"5th Generation ADS, Version 10",Property Damage. No Injured Reported
30270-13571,Waymo LLC,True,2026-01-01,San Francisco,CA,San Francisco,"5th Generation ADS, Version 10",Property Damage. No Injured Reported
30270-13560,Waymo LLC,True,2026-01-01,Los Angeles,CA,Los Angeles,"5th Generation ADS, Version 10",Property Damage. No Injured Reported
30270-13559,Waymo LLC,True,2026-01-01,Phoenix,AZ,Phoenix,"5th Generation ADS, Version 10",Property Damage. No Injured Reported
30270-13556,Waymo LLC,True,2026-01-01,Los Angeles,CA,Los Angeles,"5th Generation ADS, Version 10",Property Damage. No Injured Reported
30270-13552,Waymo LLC,True,2026-01-01,Austin,TX,Austin,"5th Generation ADS, Version 10",Property Damage. No Injured Reported
30270-13583,Waymo LLC,True,2026-01-01,Los Angeles,CA,Los Angeles,"5th Generation ADS, Version 10",Property Damage. No Injured Reported
30270-13452,Waymo LLC,True,2025-12-01,Phoenix,AZ,Phoenix,"5th Generation ADS, Version 10",Property Damage. No Injured Reported
30270-13449,Waymo LLC,True,2025-12-01,Austin,TX,Austin,"5th Generation ADS, Version 10",Property Damage. No Injured Reported
30270-13444,Waymo LLC,True,2025-12-01,Los Angeles,CA,Los Angeles,"5th Generation ADS, Version 10",Property Damage. No Injured Reported
30270-13268,Waymo LLC,True,2025-11-01,San Francisco,CA,San Francisco,"5th Generation ADS, Version 10",Property Damage. No Injured Reported
30270-13276,Waymo LLC,True,2025-11-01,Atlanta,GA,,"5th Generation ADS, Version 10",Property Damage. No Injured Reported
30270-13255,Waymo LLC,True,2025-11-01,San Francisco,CA,San Francisco,"5th Generation ADS, Version 10",Property Damage. No Injured Reported
30270-13162,Waymo LLC,True,2025-11-01,San Francisco,CA,San Francisco,"5th Generation ADS, Version 10",Property Damage. No Injured Reported
30270-13269,Waymo LLC,True,2025-11-01,Austin,TX,Austin,"5th Generation ADS, Version 10",Property Damage. No Injured Reported
30270-13091,Waymo LLC,True,2025-11-01,San Francisco,CA,San Francisco,"5th Generation ADS, Version 10",Property Damage. No Injured Reported
30270-13056,Waymo LLC,True,2025-10-01,San Francisco,CA,San Francisco,"5th Generation ADS, Version 10",Unknown
30270-13256,Waymo LLC,True,2025-11-01,Atlanta,GA,,"5th Generation ADS, Version 10",Property Damage. No Injured Reported
30270-13196,Waymo LLC,True,2025-11-01,San Francisco,CA,San Francisco,"5th Generation ADS, Version 10",Property Damage. No Injured Reported
30270-13195,Waymo LLC,True,2025-11-01,Los Angeles,CA,Los Angeles,"5th Generation ADS, Version 10",Minor W/O Hospitalization
30270-13270,Waymo LLC,True,2025-11-01,San Francisco,CA,San Francisco,"5th Generation ADS, Version 10",Property Damage. No Injured Reported
30270-13189,Waymo LLC,True,2025-11-01,San Francisco,CA,San Francisco,"5th Generation ADS, Version 10",Property Damage. No Injured Reported
30270-13165,Waymo LLC,True,2025-11-01,Phoenix,AZ,Phoenix,"5th Generation ADS, Version 10",Property Damage. No Injured Reported
30270-13164,Waymo LLC,True,2025-11-01,Austin,TX,Austin,"5th Generation ADS, Version 10",Property Damage. No Injured Reported
